1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
8	20	17	14	12	11	9	82	69	56	1019	1018	1017	10	10	10	35	26	55	0.00	 
9	22	16	11	10	9	7	77	59	43	1018	1017	1016	10	10	10	18	13	-	0.00	 
10	23	17	10	12	11	8	88	63	41	1016	1015	1014	10	10	10	21	10	-	0.00	 
11	23	17	10	11	9	7	94	60	36	1015	1015	1014	10	10	10	14	6	-	0.00	 
12	24	18	13	14	11	8	88	67	36	1016	1015	1015	10	10	10	21	8	-	0.00	Rain , Thunderstorm
13	23	17	12	13	9	7	94	62	38	1020	1017	1016	10	10	10	21	11	35	0.00	 
14	24	17	9	10	8	6	87	55	34	1021	1020	1018	10	10	10	11	6	-	0.00	 
15	20	17	14	13	12	9	88	71	56	1021	1019	1018	10	10	10	18	10	-	0.00	Rain , Thunderstorm
16	23	18	13	13	12	9	94	78	41	1021	1019	1017	10	9	4	18	8	29	0.00	Rain , Thunderstorm
17	23	17	12	14	13	10	94	74	50	1017	1012	1008	10	8	5	18	6	-	0.00	Rain , Thunderstorm
18	19	17	14	15	14	13	100	87	68	1007	1006	1005	10	8	1	26	11	-	0.00	Rain , Thunderstorm
19	15	13	12	13	11	10	94	85	77	1016	1010	1005	10	9	6	35	26	55	0.00	Rain
20	16	13	12	11	10	9	88	80	68	1016	1014	1013	10	10	8	35	21	55	0.00	Rain
21	20	17	13	15	12	10	94	83	68	1016	1013	1012	10	9	4	26	18	-	0.00	Rain , Thunderstorm
22	24	19	14	15	13	10	94	74	41	1020	1018	1016	10	10	10	18	10	-	0.00	 
23	24	19	15	15	14	11	94	76	44	1020	1019	1018	10	9	2	26	8	-	0.00	Rain , Thunderstorm
24	24	18	12	15	13	9	100	76	41	1019	1016	1013	10	8	0	21	6	-	0.00	Fog , Rain
25	19	17	14	15	14	12	94	81	68	1013	1010	1008	10	9	3	21	11	-	0.00	Rain , Thunderstorm
